BATCH 119 training acc=0.750000, cost=0.633967, test acc=0.786300, cost=0.528374, disagree_f1=0.675604, neural_f1=0.915118, agree_f1=0.438196, average_f1=0.676306
BATCH 120 training acc=0.625000, cost=0.693428, test acc=0.782915, cost=0.533939, disagree_f1=0.668325, neural_f1=0.913875, agree_f1=0.441635, average_f1=0.674612
BATCH 121 training acc=0.625000, cost=0.657382, test acc=0.771245, cost=0.552786, disagree_f1=0.645838, neural_f1=0.907654, agree_f1=0.445895, average_f1=0.666462
BATCH 122 training acc=0.812500, cost=0.472006, test acc=0.763763, cost=0.560361, disagree_f1=0.615385, neural_f1=0.907377, agree_f1=0.450818, average_f1=0.657860
BATCH 123 training acc=0.781250, cost=0.565506, test acc=0.767504, cost=0.552205, disagree_f1=0.614586, neural_f1=0.910418, agree_f1=0.456350, average_f1=0.660451
BATCH 124 training acc=0.781250, cost=0.519243, test acc=0.782113, cost=0.525657, disagree_f1=0.634645, neural_f1=0.918745, agree_f1=0.466936, average_f1=0.673442
BATCH 125 training acc=0.625000, cost=0.715208, test acc=0.783895, cost=0.521082, disagree_f1=0.641692, neural_f1=0.919023, agree_f1=0.464962, average_f1=0.675226
BATCH 126 training acc=0.718750, cost=0.685125, test acc=0.786923, cost=0.514708, disagree_f1=0.639752, neural_f1=0.921238, agree_f1=0.472101, average_f1=0.677697
BATCH 127 training acc=0.750000, cost=0.570283, test acc=0.782113, cost=0.526844, disagree_f1=0.649569, neural_f1=0.915189, agree_f1=0.463597, average_f1=0.676118
BATCH 128 training acc=0.812500, cost=0.458840, test acc=0.783984, cost=0.533543, disagree_f1=0.671707, neural_f1=0.909078, agree_f1=0.461794, average_f1=0.680860
BATCH 129 training acc=0.593750, cost=0.757448, test acc=0.775432, cost=0.563587, disagree_f1=0.682327, neural_f1=0.895639, agree_f1=0.444510, average_f1=0.674158
BATCH 130 training acc=0.812500, cost=0.442134, test acc=0.761268, cost=0.630305, disagree_f1=0.682754, neural_f1=0.877396, agree_f1=0.426311, average_f1=0.662154
BATCH 131 training acc=0.718750, cost=0.778918, test acc=0.741404, cost=0.697703, disagree_f1=0.665439, neural_f1=0.858107, agree_f1=0.386874, average_f1=0.636807
BATCH 132 training acc=0.812500, cost=0.563716, test acc=0.744700, cost=0.685089, disagree_f1=0.669294, neural_f1=0.861618, agree_f1=0.371522, average_f1=0.634145
BATCH 133 training acc=0.625000, cost=0.823904, test acc=0.763050, cost=0.620572, disagree_f1=0.685501, neural_f1=0.879226, agree_f1=0.369899, average_f1=0.644876
BATCH 134 training acc=0.656250, cost=0.615299, test acc=0.781311, cost=0.560822, disagree_f1=0.702987, neural_f1=0.893896, agree_f1=0.402593, average_f1=0.666492
BATCH 135 training acc=0.625000, cost=0.781986, test acc=0.807768, cost=0.495826, disagree_f1=0.722606, neural_f1=0.916964, agree_f1=0.435030, average_f1=0.691533
BATCH 136 training acc=0.593750, cost=0.876329, test acc=0.824604, cost=0.454757, disagree_f1=0.722040, neural_f1=0.933417, agree_f1=0.468642, average_f1=0.708033
BATCH 137 training acc=0.718750, cost=0.523824, test acc=0.822733, cost=0.448232, disagree_f1=0.693886, neural_f1=0.937315, agree_f1=0.488705, average_f1=0.706635
