Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 109 training acc=0.750000, cost=0.465994, test acc=0.836451, cost=0.420910, disagree_f1=0.707054, neural_f1=0.943782, agree_f1=0.479104, average_f1=0.709980
BATCH 110 training acc=0.937500, cost=0.345006, test acc=0.836540, cost=0.419907, disagree_f1=0.703193, neural_f1=0.943234, agree_f1=0.483558, average_f1=0.709995
BATCH 111 training acc=0.750000, cost=0.556508, test acc=0.838322, cost=0.416262, disagree_f1=0.709442, neural_f1=0.943384, agree_f1=0.479631, average_f1=0.710819
BATCH 112 training acc=0.656250, cost=0.708988, test acc=0.841172, cost=0.413282, disagree_f1=0.721905, neural_f1=0.944579, agree_f1=0.469037, average_f1=0.711840
BATCH 113 training acc=0.593750, cost=0.701447, test acc=0.841885, cost=0.415068, disagree_f1=0.727483, neural_f1=0.944362, agree_f1=0.472523, average_f1=0.714789
BATCH 114 training acc=0.781250, cost=0.685459, test acc=0.838678, cost=0.423877, disagree_f1=0.733618, neural_f1=0.941611, agree_f1=0.453465, average_f1=0.709564
BATCH 115 training acc=0.687500, cost=0.627453, test acc=0.835293, cost=0.434265, disagree_f1=0.728989, neural_f1=0.939523, agree_f1=0.464455, average_f1=0.710989
BATCH 116 training acc=0.750000, cost=0.682591, test acc=0.828968, cost=0.461960, disagree_f1=0.727637, neural_f1=0.934180, agree_f1=0.468134, average_f1=0.709984
BATCH 117 training acc=0.750000, cost=0.596864, test acc=0.817388, cost=0.500184, disagree_f1=0.717639, neural_f1=0.925136, agree_f1=0.462901, average_f1=0.701892
BATCH 118 training acc=0.750000, cost=0.538547, test acc=0.796900, cost=0.552812, disagree_f1=0.697125, neural_f1=0.908749, agree_f1=0.466262, average_f1=0.690712
BATCH 119 training acc=0.656250, cost=0.694969, test acc=0.779173, cost=0.586208, disagree_f1=0.674302, neural_f1=0.897411, agree_f1=0.461109, average_f1=0.677608
BATCH 120 training acc=0.875000, cost=0.365836, test acc=0.774630, cost=0.589441, disagree_f1=0.662291, neural_f1=0.897498, agree_f1=0.466476, average_f1=0.675422
BATCH 121 training acc=0.843750, cost=0.603777, test acc=0.778550, cost=0.570339, disagree_f1=0.645641, neural_f1=0.906953, agree_f1=0.478896, average_f1=0.677163
BATCH 122 training acc=0.656250, cost=0.764387, test acc=0.793248, cost=0.529364, disagree_f1=0.640933, neural_f1=0.923657, agree_f1=0.488962, average_f1=0.684517
BATCH 123 training acc=0.750000, cost=0.655582, test acc=0.807857, cost=0.485358, disagree_f1=0.640459, neural_f1=0.935637, agree_f1=0.506166, average_f1=0.694087
BATCH 124 training acc=0.718750, cost=0.618687, test acc=0.816319, cost=0.462634, disagree_f1=0.643404, neural_f1=0.941088, agree_f1=0.514005, average_f1=0.699499
