BATCH 122 training acc=0.812500, cost=0.508750, test acc=0.810618, cost=0.475939, disagree_f1=0.649565, neural_f1=0.933665, agree_f1=0.504860, average_f1=0.696030
BATCH 123 training acc=0.843750, cost=0.374999, test acc=0.819882, cost=0.462292, disagree_f1=0.682907, neural_f1=0.934400, agree_f1=0.497068, average_f1=0.704792
BATCH 124 training acc=0.750000, cost=0.498632, test acc=0.821397, cost=0.457628, disagree_f1=0.688929, neural_f1=0.934454, agree_f1=0.493005, average_f1=0.705463
BATCH 125 training acc=0.656250, cost=0.601831, test acc=0.815963, cost=0.466509, disagree_f1=0.680956, neural_f1=0.932223, agree_f1=0.495447, average_f1=0.702876
BATCH 126 training acc=0.687500, cost=0.616369, test acc=0.802779, cost=0.486937, disagree_f1=0.660612, neural_f1=0.926367, agree_f1=0.487706, average_f1=0.691562
BATCH 127 training acc=0.875000, cost=0.465918, test acc=0.786211, cost=0.523844, disagree_f1=0.636481, neural_f1=0.917753, agree_f1=0.480509, average_f1=0.678248
BATCH 128 training acc=0.750000, cost=0.540340, test acc=0.757171, cost=0.577090, disagree_f1=0.614388, neural_f1=0.896456, agree_f1=0.456259, average_f1=0.655701
BATCH 129 training acc=0.812500, cost=0.498104, test acc=0.738642, cost=0.638557, disagree_f1=0.615648, neural_f1=0.879672, agree_f1=0.437629, average_f1=0.644316
BATCH 130 training acc=0.718750, cost=0.568315, test acc=0.728042, cost=0.675777, disagree_f1=0.618741, neural_f1=0.867494, agree_f1=0.429703, average_f1=0.638646
BATCH 131 training acc=0.625000, cost=0.623007, test acc=0.735525, cost=0.678309, disagree_f1=0.643149, neural_f1=0.866065, agree_f1=0.433140, average_f1=0.647451
BATCH 132 training acc=0.656250, cost=1.018883, test acc=0.741760, cost=0.674937, disagree_f1=0.661787, neural_f1=0.867081, agree_f1=0.429226, average_f1=0.652698
BATCH 133 training acc=0.687500, cost=0.798238, test acc=0.745502, cost=0.660679, disagree_f1=0.661934, neural_f1=0.871625, agree_f1=0.434957, average_f1=0.656172
BATCH 134 training acc=0.750000, cost=0.566689, test acc=0.758329, cost=0.612646, disagree_f1=0.668244, neural_f1=0.884139, agree_f1=0.441372, average_f1=0.664585
BATCH 135 training acc=0.843750, cost=0.399651, test acc=0.775877, cost=0.572316, disagree_f1=0.691846, neural_f1=0.894976, agree_f1=0.447868, average_f1=0.678230
BATCH 136 training acc=0.750000, cost=0.626540, test acc=0.804026, cost=0.515804, disagree_f1=0.712733, neural_f1=0.916910, agree_f1=0.464776, average_f1=0.698140
BATCH 137 training acc=0.750000, cost=0.469292, test acc=0.817388, cost=0.484850, disagree_f1=0.721977, neural_f1=0.926311, agree_f1=0.468283, average_f1=0.705524
BATCH 138 training acc=0.687500, cost=0.595699, test acc=0.825138, cost=0.456109, disagree_f1=0.716288, neural_f1=0.932467, agree_f1=0.482192, average_f1=0.710316
BATCH 139 training acc=0.750000, cost=0.514803, test acc=0.827900, cost=0.455367, disagree_f1=0.703857, neural_f1=0.936027, agree_f1=0.504290, average_f1=0.714725
BATCH 140 training acc=0.750000, cost=0.543065, test acc=0.832888, cost=0.446811, disagree_f1=0.714722, neural_f1=0.937453, agree_f1=0.497191, average_f1=0.716455
BATCH 141 training acc=0.625000, cost=0.823423, test acc=0.834135, cost=0.446776, disagree_f1=0.726735, neural_f1=0.936510, agree_f1=0.484627, average_f1=0.715957
BATCH 142 training acc=0.687500, cost=0.743324, test acc=0.828434, cost=0.459285, disagree_f1=0.729088, neural_f1=0.932900, agree_f1=0.460157, average_f1=0.707382
BATCH 143 training acc=0.625000, cost=0.848124, test acc=0.826118, cost=0.473262, disagree_f1=0.732257, neural_f1=0.930818, agree_f1=0.461929, average_f1=0.708335
BATCH 144 training acc=0.593750, cost=0.736565, test acc=0.821219, cost=0.485967, disagree_f1=0.734931, neural_f1=0.926952, agree_f1=0.455404, average_f1=0.705762
BATCH 145 training acc=0.625000, cost=0.734717, test acc=0.816943, cost=0.495570, disagree_f1=0.727203, neural_f1=0.925199, agree_f1=0.461794, average_f1=0.704732
BATCH 146 training acc=0.781250, cost=0.599551, test acc=0.810707, cost=0.505899, disagree_f1=0.712082, neural_f1=0.923272, agree_f1=0.474246, average_f1=0.703200
BATCH 147 training acc=0.812500, cost=0.478938, test acc=0.796277, cost=0.524499, disagree_f1=0.673960, neural_f1=0.920777, agree_f1=0.473627, average_f1=0.689454
BATCH 148 training acc=0.718750, cost=0.669092, test acc=0.793337, cost=0.526754, disagree_f1=0.657231, neural_f1=0.921617, agree_f1=0.479117, average_f1=0.685989
BATCH 149 training acc=0.531250, cost=0.837833, test acc=0.798682, cost=0.511634, disagree_f1=0.652594, neural_f1=0.926339, agree_f1=0.488026, average_f1=0.688986
BATCH 150 training acc=0.625000, cost=0.685588, test acc=0.805897, cost=0.490176, disagree_f1=0.647779, neural_f1=0.932537, agree_f1=0.495595, average_f1=0.691970
BATCH 151 training acc=0.750000, cost=0.502655, test acc=0.810173, cost=0.478414, disagree_f1=0.646119, neural_f1=0.935428, agree_f1=0.501545, average_f1=0.694364
